,budget,genres,popularity,production_companies,revenue,runtime,cast,crew,vote_count,vote weight,vote_average
3137,10.0,11.90782935216538,10.013629,10.8,10000000.0,99.0,68.5491414141414,16.425,119.0,583.1,4.9
3138,10000000.0,24.86748041378924,3.753703,48.74880952380953,0.0,89.0,126.90282051282051,88.7732142857143,27.0,180.9,6.7
3139,9500000.0,5.957733428367781,19.978021,19.560636277302944,17164377.0,107.0,106.49254465587236,65.16214285714285,737.0,4716.8,6.4
3140,9600000.0,12.680710455188976,3.5885290000000003,6.27741935483871,4386236.0,144.0,95.81293650793651,17.7,24.0,144.0,6.0
3141,11000000.0,5.957733428367781,9.337388,6.163124999999999,59827328.0,98.0,103.5499755799756,11.462499999999999,135.0,864.0,6.4
3142,10000000.0,6.041402497598462,11.431434,12.899999999999999,0.0,94.0,86.81881526969762,45.349999999999994,158.0,679.4,4.3
3143,9500000.0,18.32048613221531,28.675891,6.284210526315789,111584787.0,117.0,103.45527777777778,19.026923076923076,531.0,3451.5,6.5
3144,10.0,24.770892046898865,9.70276,6.1,0.0,102.0,50.396715686274504,6.1,86.0,524.6,6.1
3145,8900000.0,12.680710455188976,17.151293,21.585714285714285,19839492.0,127.0,87.91666666666667,58.083333333333336,400.0,3000.0,7.5
3146,10500000.0,11.90782935216538,11.225044,5.971428571428569,14144000.0,98.0,43.27222222222222,14.847058823529412,123.0,553.5,4.5
3147,9500000.0,11.863729158319721,5.346205,15.262500000000001,0.0,87.0,100.50803030303034,4.9,34.0,166.60000000000002,4.9
3148,9400000.0,24.474529541057855,14.562991,13.503773584905662,60000000.0,163.0,365.2961904761905,14.0,140.0,980.0,7.0
3149,12899867.0,18.638443883556757,19.747809,7.3,85582407.0,121.0,180.25000000000003,43.64999999999999,406.0,2963.7999999999997,7.3
3150,9300000.0,12.376814244177329,12.928269,6.2,0.0,90.0,121.21648148148151,18.41923076923077,148.0,917.6,6.2
3151,10000000.0,18.11457091193444,3.193777,0.0,0.0,89.0,55.47024154589373,5.9,51.0,316.2,6.2
3152,0.0,13.15695771937516,5.107235,13.8,0.0,104.0,118.43413017838715,6.166666666666667,49.0,338.1,6.9
3153,10000000.0,17.94923184976384,10.073144,15.58,0.0,94.0,119.09115927072583,89.34999999999998,74.0,377.4,5.1
3154,0.0,18.722112952787437,4.807549,6.0,0.0,131.0,120.725,6.0,40.0,240.0,6.0
3155,7400000.0,12.531345946612204,36.173598,131.67333333333335,21817298.0,136.0,76.66101599117728,34.63333333333333,885.0,6195.0,7.0
3156,0.0,18.450935161015906,5.499412,41.43333333333334,0.0,92.0,80.97530303030302,96.02083333333331,83.0,589.3,7.1
3157,0.0,12.680710455188976,5.900535,6.699999999999999,0.0,176.0,100.70833333333331,14.26666666666667,66.0,481.8,7.3
3158,11000000.0,24.02056664188638,94.184658,12.530419331911869,104931801.0,117.0,68.88958589349718,53.81247182247182,4470.0,35313.0,7.9
3159,85000.0,5.7923943661971835,29.262427,13.363125,30859000.0,83.0,117.97500000000002,12.55,590.0,4248.0,7.2
3160,10000000.0,12.867982168982417,17.611971,17.770833333333332,2995811.0,106.0,112.3500911762164,26.566666666666666,254.0,1600.2,6.3
3161,9000000.0,12.680710455188976,7.6239789999999985,21.303773584905663,83304330.0,181.0,297.5452380952381,76.51388888888889,134.0,991.6,7.4
3162,5500000.0,18.32048613221531,31.036,12.255639097744357,141195658.0,130.0,122.94083333333334,25.593589743589746,562.0,3653.0,6.5
3163,10000000.0,17.821462586687502,10.424596,5.7,0.0,93.0,203.09988095238086,22.3,129.0,735.3000000000001,5.7
3164,7000000.0,18.638443883556757,7.720692,6.4,8220215.0,110.0,110.85000000000001,7.0,118.0,826.0,7.0
3165,9000000.0,18.813158618531084,6.717994,6.163124999999999,41590886.0,118.0,110.78155736563633,24.793333333333333,66.0,455.40000000000003,6.9
3166,9000000.0,12.417744582857447,3.951041000000001,12.88820512820513,34573780.0,120.0,50.577407407407414,6.05,38.0,258.4,6.8
3167,9000000.0,11.90782935216538,27.600843,6.503773584905662,44196684.0,87.0,37.94166666666666,11.945454545454545,581.0,3660.2999999999997,6.3
3168,9000000.0,6.5260869565217385,14.098952,6.539473684210528,24538513.0,123.0,42.09102564102564,49.020192307692305,235.0,1715.5,7.3
3169,9000000.0,11.90782935216538,82.975841,30.203205128205127,108782847.0,104.0,264.8112878787878,73.17708554885975,1954.0,12896.4,6.6
3170,9000000.0,24.671634461715218,3.269459,6.45679012345679,0.0,91.0,61.932419786096254,16.5,70.0,343.0,4.9
3171,9000000.0,12.121382077016435,18.514292,6.163124999999999,23936908.0,88.0,96.49882556212278,75.44425770308123,693.0,4573.8,6.6
3172,9000000.0,12.575446140457863,7.029126,12.220833333333335,0.0,126.0,70.98983995307525,12.222222222222221,60.0,402.0,6.7
3173,26000000.0,18.887191106900822,11.233081,6.163124999999999,28780255.0,118.0,82.00356971975394,62.29760683760685,201.0,1306.5,6.5
3174,40600000.0,5.957733428367781,34.022209000000004,13.320754716981131,90400000.0,116.0,98.81349206349206,48.3,738.0,5239.8,7.1
3175,9000000.0,11.90782935216538,4.134327,5.68,21510851.0,84.0,86.71084332334328,5.466666666666666,119.0,571.1999999999999,4.8
3176,0.0,12.178432729067094,6.904734,11.626315789473685,0.0,85.0,41.41122222222222,18.075,21.0,121.8,5.8
3177,9000000.0,32.14820237481579,4.641006,20.844444444444445,0.0,137.0,207.9196131092139,21.38888888888889,71.0,525.4,7.4
3178,0.0,6.460011154489665,5.663889,33.218589743589746,0.0,114.0,129.59861024033435,72.98621794871794,110.0,748.0,6.8
3179,0.0,12.178432729067094,1.118511,6.243636363636363,6126237.0,80.0,54.430357142857154,6.3,16.0,100.8,6.3
3180,8500000.0,24.92859360449928,8.775844000000001,0.0,19125401.0,119.0,96.50477052359406,51.99583333333334,100.0,640.0,6.4
3181,9000000.0,12.417744582857447,2.062087,6.503773584905662,4777465.0,97.0,94.31657439052177,44.74264705882353,95.0,617.5,6.5
3182,9000000.0,5.957733428367781,8.738737,5.38,4350774.0,79.0,218.82301587301586,42.4975,41.0,246.0,6.0
3183,0.0,18.713901033347437,4.976268,12.95,0.0,114.0,103.85302808302808,46.383333333333326,78.0,530.4,6.8
3184,9000000.0,18.07047071808878,3.810697,11.671428571428569,0.0,91.0,118.09468497189089,16.900000000000002,49.0,279.3,5.7
3185,9000000.0,6.460011154489665,2.365328,12.0,2955039.0,97.0,85.32094474153297,6.266666666666667,17.0,102.0,6.0
3186,9000000.0,18.638443883556757,5.2545,5.5,0.0,103.0,79.12542261077915,5.2,29.0,159.5,5.5
3187,0.0,12.365704442860533,5.2933629999999985,0.0,0.0,92.0,93.05070949432404,50.64459064327486,56.0,341.59999999999997,6.1
3188,0.0,12.867982168982417,10.932711,47.336309523809526,1053788.0,119.0,99.39505679505683,33.35894230769231,116.0,800.4000000000001,6.9
3189,0.0,12.068280891019882,9.05029,14.4,0.0,156.0,79.04000000000002,14.4,250.0,1800.0,7.2
3190,9000000.0,18.96724854917295,9.933926,19.787562189054725,18663238.0,84.0,123.50536231884057,32.36,79.0,537.1999999999999,6.8
3191,0.0,26.121100576518018,0.843067,11.3,0.0,185.0,31.049999999999997,5.1,6.0,30.599999999999998,5.1
3192,9000000.0,11.90782935216538,8.218383,0.0,0.0,120.0,127.6164046479836,24.271428571428572,35.0,210.0,6.0
3193,6000000.0,5.957733428367781,5.119593,24.335294117647056,14348529.0,98.0,77.64,5.8,214.0,1241.2,5.8
3194,9000000.0,12.417744582857447,2.872281,14.035,0.0,128.0,196.85246031746033,54.57061403508772,33.0,231.0,7.0
3195,9000000.0,6.460011154489665,0.717811,14.399999999999999,771499.0,130.0,30.073749999999997,4.8,14.0,67.2,4.8
3196,5000000.0,18.728201732648127,1.458884,6.8999999999999995,140666.0,86.0,49.605000000000004,6.066666666666666,7.0,42.699999999999996,6.1
3197,6500000.0,26.197845542960973,7.028946,168.35115384615386,0.0,130.0,298.7000000000002,134.52499999999998,68.0,462.4,6.8
3198,9000000.0,12.178432729067094,2.0095970000000003,17.821212121212124,1046166.0,97.0,82.77030303030303,15.599285714285715,12.0,54.0,4.5
3199,0.0,25.163077631723517,7.247022999999999,26.638690476190476,0.0,102.0,153.49238408934062,6.95,54.0,378.0,7.0
3200,0.0,12.680710455188976,2.351706,49.95543672014261,0.0,105.0,41.71666666666667,17.5,10.0,56.0,5.6
3201,9000000.0,12.680710455188976,4.799022,29.720000000000002,0.0,103.0,198.4629761904763,117.64095238095236,75.0,435.0,5.8
3202,5000000.0,12.121382077016435,16.072466,12.520754716981132,328203506.0,97.0,62.31833333333333,18.433333333333334,503.0,3168.9,6.3
3203,0.0,12.376814244177329,3.891186,15.600000000000001,0.0,76.0,53.71063748079878,16.35,27.0,140.4,5.2
3204,8800000.0,18.462656302913434,3.789485,23.63679012345679,0.0,90.0,85.94626373626376,5.9,62.0,365.8,5.9
3205,7347125.0,19.886100576518015,3.949796,34.449999999999996,0.0,122.0,115.71999999999997,78.225,40.0,292.0,7.3
3206,0.0,6.460011154489665,14.038703,30.700000000000003,20374201.0,127.0,354.03333333333313,21.933333333333334,285.0,2251.5,7.9
3207,86000000.0,18.703066477233854,18.172736,19.15947368421053,14373825.0,84.0,124.85442962538549,55.78733333333332,395.0,2488.5,6.3
3208,0.0,30.661254703401543,1.881466,15.007142857142858,0.0,69.0,98.0793315018315,7.166666666666667,27.0,216.0,8.0
3209,9000000.0,18.616848638056325,6.6779259999999985,28.4,0.0,96.0,145.44953060011878,73.96185897435898,61.0,341.59999999999997,5.6
3210,8500000.0,11.750127794564964,24.750909,6.325732899022803,32222567.0,97.0,177.31031746031752,46.028003663003666,538.0,3658.4,6.8
3211,7000000.0,19.088681469681728,17.697042,20.10192307692308,39462438.0,112.0,59.04859655451761,57.628701754385965,274.0,1863.2,6.8
3212,9250000.0,19.088681469681728,7.000949,6.187562189054725,29174648.0,125.0,79.69785714285715,40.891666666666666,28.0,190.4,6.8
