,Unnamed: 0,budget,popularity,encoded_rate,new spoken_languages,new cast,new production_companies,new production_countries,new crew,new genres,new keywords,revenue,runtime,vote_count
1119,1119,42000000,62.714026,2,1,3,4,1,21973.55850202429,3,2,201585328,109.0,4074
1120,1120,42000000,28.969151,2,2,2,1,2,3424.4999999999995,3,3,363889678,124.0,1262
1121,1121,45000000,31.789029,1,1,1,3,1,12174.410714285714,3,1,224834564,84.0,1150
1122,1122,42000000,33.238296000000005,1,1,3,1,1,26126.16143660261,2,4,171963386,90.0,773
1123,1123,40000000,6.420433999999998,1,2,2,1,1,3413.6410256410254,2,0,70100000,117.0,134
1124,1124,43000000,37.654688,1,3,1,5,1,10218.247402597402,3,1,158674180,117.0,1575
1125,1125,31115000,13.244365,2,2,0,1,3,1901.4285714285716,3,0,71000000,248.0,146
1126,1126,0,26.799913,1,1,1,2,1,5526.456776556777,1,0,73100172,105.0,593
1127,1127,42000000,14.046705,1,2,2,4,1,3622.9687499999995,4,4,63781810,115.0,184
1128,1128,42000000,3.844926,1,1,2,2,1,90.83333333333333,3,3,0,126.0,47
1129,1129,32000000,14.733513,1,1,0,1,1,3501.1329310344827,3,4,55157539,119.0,305
1130,1130,42000000,16.122168,1,3,1,1,1,13214.025163398692,1,2,0,83.0,518
1131,1131,32000000,28.221190000000004,1,2,1,1,2,8467.850101214575,3,3,156167015,133.0,541
1132,1132,42000000,45.151657,1,1,1,2,2,11161.656007751939,3,3,89162162,100.0,922
1133,1133,60000000,15.205371,1,4,2,2,2,21682.107754010696,3,17,56359980,120.0,191
1134,1134,48000000,14.587367,1,1,2,2,2,986.8,4,4,20915465,104.0,232
1135,1135,42000000,34.828241,2,8,1,2,3,11518.5898989899,3,0,24127895,122.0,1335
1136,1136,31000000,23.607392,2,1,0,0,1,3999.8888888888887,4,0,177394432,99.0,635
1137,1137,40000000,19.438503,1,1,1,2,1,8949.594263657084,3,3,36893721,91.0,388
1138,1138,44000000,74.16801600000002,1,2,2,1,1,23172.81971737413,2,1,12342632,112.0,2304
1139,1139,42000000,7.349497,1,2,1,0,2,11104.416666666666,5,5,11087569,100.0,136
1140,1140,33000000,7.6635149999999985,2,1,0,1,1,5218.380952380952,3,0,14000000,100.0,148
1141,1141,41000000,32.798571,2,1,2,1,1,31896.38843325792,1,1,215000000,110.0,1626
1142,1142,0,5.794466000000001,1,2,0,0,1,125.0,3,1,0,100.0,125
1143,1143,65000000,36.670399,2,1,2,2,1,18785.40460927961,4,3,117487473,132.0,907
1144,1144,41000000,14.653718,1,1,0,0,2,1780.4666666666667,4,1,0,88.0,281
1145,1145,40000000,73.085576,2,3,1,3,1,30329.862818282596,3,3,672806292,107.0,3147
1146,1146,42000000,34.041407,1,1,3,1,1,17503.511094527363,3,2,46221189,102.0,925
1147,1147,41000000,9.419726,1,1,3,5,1,5447.642673992675,1,4,7448385,100.0,248
1148,1148,8000000,28.456572,2,1,0,1,1,5798.123015873016,1,0,90815558,126.0,891
1149,1149,40000000,49.66412800000001,2,1,4,3,1,25463.832426516572,2,1,251171807,138.0,2807
1150,1150,40000000,36.238968,2,1,2,2,1,16608.850595238095,3,3,317375031,108.0,1804
1151,1151,70000000,19.439386,1,1,2,1,2,1034.85,4,1,177841558,105.0,278
1152,1152,40000000,43.345252,2,1,0,2,1,21628.79180819181,4,3,332000000,108.0,3829
1153,1153,40000000,115.241998,1,5,2,5,2,43978.66203703704,2,3,126546825,89.0,5878
1154,1154,40000000,98.755657,1,1,0,1,1,17119.468716931216,3,2,571006128,125.0,3254
1155,1155,38000000,21.998734,1,1,8,1,1,5519.820095948827,5,1,197011982,84.0,511
1156,1156,40000000,25.219805,2,1,8,2,1,5973.642559523809,3,5,152266007,149.0,509
1157,1157,40000000,26.516624,1,1,0,2,1,4600.430882352941,1,0,190212113,98.0,699
1158,1158,40000000,37.084384,2,1,1,2,1,40106.42213064713,4,2,149295601,121.0,1526
